control,control_window_gain,feature_mode,fold,real_window_gain,representation,target,threshold,window_name,window_seconds,window_specific_gain
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.016731676114232485,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.09590120161358151
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.016731676114232485,mean_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.06244978773732068
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.013869206619123664,last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.003811918756694621
shuffled,0.018917649397707237,cortical_pca_64,grouped_0,0.013869206619123664,last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,-0.005048442778583573
random,0.008864279021213395,cortical_pca_64,grouped_0,0.013869206619123664,last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.005004927597910269
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.013869206619123664,last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.09303873211847269
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.013869206619123664,last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.05958731824221186
ar,0.017681125375818285,cortical_pca_64,grouped_0,0.023118161929231607,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.005437036553413321
shuffled,0.01793560944283179,cortical_pca_64,grouped_0,0.023118161929231607,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.005182552486399816
random,-0.004112730482801474,cortical_pca_64,grouped_0,0.023118161929231607,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.02723089241203308
timestamp,-0.07916952549934902,cortical_pca_64,grouped_0,0.023118161929231607,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.10228768742858063
video_time,-0.0457181116230882,cortical_pca_64,grouped_0,0.023118161929231607,mean_std_last_slope,arousal__future_spike_1_3s,0.05,causal_past_4s,4.0,0.0688362735523198
ar,0.009324850319492262,cortical_pca_64,grouped_0,0.013972659813648314,last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.004647809494156052
shuffled,0.009441219303470583,cortical_pca_64,grouped_0,0.013972659813648314,last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.004531440510177731
random,0.021808072841952908,cortical_pca_64,grouped_0,0.013972659813648314,last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.007835413028304594
timestamp,-0.11876515998978011,cortical_pca_64,grouped_0,0.013972659813648314,last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.13273781980342841
video_time,-0.05391226047014311,cortical_pca_64,grouped_0,0.013972659813648314,last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.06788492028379142
ar,0.009324850319492262,cortical_pca_64,grouped_0,0.021387849029823658,mean,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.012062998710331396
shuffled,0.009149201612049185,cortical_pca_64,grouped_0,0.021387849029823658,mean,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.012238647417774473
random,0.009903635202661631,cortical_pca_64,grouped_0,0.021387849029823658,mean,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.011484213827162026
timestamp,-0.11876515998978011,cortical_pca_64,grouped_0,0.021387849029823658,mean,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.14015300901960376
video_time,-0.05391226047014311,cortical_pca_64,grouped_0,0.021387849029823658,mean,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.07530010949996677
ar,0.009324850319492262,cortical_pca_64,grouped_0,-0.0010047043710443293,slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.010329554690536591
shuffled,0.006171309461299346,cortical_pca_64,grouped_0,-0.0010047043710443293,slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.007176013832343675
random,0.011849501480893476,cortical_pca_64,grouped_0,-0.0010047043710443293,slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.012854205851937806
timestamp,-0.11876515998978011,cortical_pca_64,grouped_0,-0.0010047043710443293,slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.11776045561873578
video_time,-0.05391226047014311,cortical_pca_64,grouped_0,-0.0010047043710443293,slope,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.05290755609909878
ar,0.009324850319492262,cortical_pca_64,grouped_0,0.00718986917867015,mean_last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,-0.002134981140822112
shuffled,-0.0030215954421142777,cortical_pca_64,grouped_0,0.00718986917867015,mean_last,arousal__future_spike_1_3s,0.05,causal_past_5s,5.0,0.010211464620784427
