scope,video_id,time_quartile,rows,spike_prevalence,continuous_mean,continuous_std,positive_count,ar_pr_auc,ar_spearman_continuous,ar_top5_lift
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_topdown_BE2EB7CB-E570-BB1C-D26A-98B815375148,q1_earliest,41,0.4878048780487805,0.16868221592839536,0.15048187425954523,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_topdown_BE2EB7CB-E570-BB1C-D26A-98B815375148,q2,41,0.3170731707317073,0.15172396133449384,0.2095048972720357,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_topdown_BE2EB7CB-E570-BB1C-D26A-98B815375148,q3,41,0.04878048780487805,0.046312553308359004,0.06199921140690746,,,,
train,0A221ADF-C99E-307E-7B65-92EF9DABA6C4_topdown_BE2EB7CB-E570-BB1C-D26A-98B815375148,q4_latest,41,0.43902439024390244,0.1488607018822577,0.1570827667404719,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_apex_312891BA-FB2F-3F38-E12C-B675CFD5C404,q1_earliest,42,0.35714285714285715,0.15312758380813257,0.151808183644209,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_apex_312891BA-FB2F-3F38-E12C-B675CFD5C404,q2,41,0.3170731707317073,0.1481369807861927,0.2017392604887585,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_apex_312891BA-FB2F-3F38-E12C-B675CFD5C404,q3,41,0.04878048780487805,0.050524610054974516,0.05981053252992356,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_apex_312891BA-FB2F-3F38-E12C-B675CFD5C404,q4_latest,41,0.14634146341463414,0.07042852271257377,0.12259360788931417,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_endless_AE8D6E77-D721-8703-9AC6-49C6382E75D8,q1_earliest,42,0.0,0.02460513497880172,0.0273160360529404,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_endless_AE8D6E77-D721-8703-9AC6-49C6382E75D8,q2,41,0.3902439024390244,0.14744248313874733,0.1767693214431286,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_endless_AE8D6E77-D721-8703-9AC6-49C6382E75D8,q3,41,0.14634146341463414,0.05440428117062987,0.08796896171481089,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_endless_AE8D6E77-D721-8703-9AC6-49C6382E75D8,q4_latest,41,0.36585365853658536,0.1450287921399605,0.18960180277986108,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_fps_BE269394-C46C-F769-85CF-84595C7EAB60,q1_earliest,41,0.0,0.04828415992783337,0.03743730659657738,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_fps_BE269394-C46C-F769-85CF-84595C7EAB60,q2,41,0.0975609756097561,0.052138024244014536,0.06496549372820491,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_fps_BE269394-C46C-F769-85CF-84595C7EAB60,q3,41,0.17073170731707318,0.07897751508621363,0.1296941536585626,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_fps_BE269394-C46C-F769-85CF-84595C7EAB60,q4_latest,41,0.34146341463414637,0.10529547748042316,0.15829162822574994,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gallery_904B53AC-1B38-3993-2F83-CA046467CB0F,q1_earliest,41,0.0,0.019260340466777364,0.017878811660633178,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gallery_904B53AC-1B38-3993-2F83-CA046467CB0F,q2,41,0.0,0.04953608072430986,0.03661010366261642,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gallery_904B53AC-1B38-3993-2F83-CA046467CB0F,q3,40,0.0,0.01924808728217613,0.025842014207013073,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gallery_904B53AC-1B38-3993-2F83-CA046467CB0F,q4_latest,41,0.0975609756097561,0.05085199611352348,0.05673970390762045,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gun_9CA5CC72-1273-450C-5579-A7773DC8B0D2,q1_earliest,42,0.0,0.03377158267955695,0.03638875410174153,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gun_9CA5CC72-1273-450C-5579-A7773DC8B0D2,q2,42,0.0,0.029380042394179674,0.04406073218584256,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gun_9CA5CC72-1273-450C-5579-A7773DC8B0D2,q3,41,0.14634146341463414,0.06770414859056473,0.06407234195421367,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_gun_9CA5CC72-1273-450C-5579-A7773DC8B0D2,q4_latest,42,0.11904761904761904,0.047213482293522076,0.0897494551074549,,,,
train,0A76B59A-F1FF-F3F5-A3CA-2386FA8EF308_platform_50842263-BF62-84F7-ECBE-B8A3FDEF5472,q1_earliest,42,0.0,0.03284072232920499,0.033019430702226696,,,,
