validation_protocol,fold,seed,variant_name,control_type,pr_auc,delta_vs_frozen_ar_pr_auc
grouped_fold1_reference_only,1,20260627,blocked_delta_selected_gated_residual,label_permutation_residual,0.24371819154861396,0.0001442467736845754
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,frozen_ar_only,0.24357394477492939,0.0
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,real_residual,0.24368351448227157,0.00010956970734218863
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,shuffled_pca_residual,0.24357100275472143,-2.9420202079522006e-06
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,random_pca_residual,0.2435327133741481,-4.1231400781271965e-05
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,diagnostics_only_residual,0.24358705369624498,1.3108921315591049e-05
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,video_mean_pca_residual,0.24376518697198069,0.00019124219705130008
grouped_fold1_reference_only,1,20260627,monotonic_do_no_harm_residual,label_permutation_residual,0.24361054933482684,3.660455989745737e-05
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,frozen_ar_only,0.24357394477492939,0.0
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,real_residual,0.2437239414851758,0.00014999671024640282
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,shuffled_pca_residual,0.24370191788110948,0.00012797310618009594
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,random_pca_residual,0.2437042385586203,0.00013029378369092126
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,diagnostics_only_residual,0.24359955646297168,2.561168804229852e-05
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,video_mean_pca_residual,0.2436849207487379,0.0001109759738085192
grouped_fold1_reference_only,1,20260627,low_ar_confidence_residual,label_permutation_residual,0.24309569096111525,-0.000478253813814139
grouped_fold1_reference_only,1,20260627,rank_lift_residual,frozen_ar_only,0.24357394477492939,0.0
grouped_fold1_reference_only,1,20260627,rank_lift_residual,real_residual,0.24386713223843806,0.0002931874635086762
grouped_fold1_reference_only,1,20260627,rank_lift_residual,shuffled_pca_residual,0.2435717644480283,-2.180326901080054e-06
grouped_fold1_reference_only,1,20260627,rank_lift_residual,random_pca_residual,0.2435739360091169,-8.765812492539382e-09
grouped_fold1_reference_only,1,20260627,rank_lift_residual,diagnostics_only_residual,0.24354055870846317,-3.338606646621778e-05
grouped_fold1_reference_only,1,20260627,rank_lift_residual,video_mean_pca_residual,0.24361412854848252,4.01837735531374e-05
grouped_fold1_reference_only,1,20260627,rank_lift_residual,label_permutation_residual,0.24358430899949074,1.036422456135444e-05
