accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,feature_mode,mask,model,n_neg_mean,n_pos,negative_ratio,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,seed_count,split,target,task_type,threshold
0.4305429178040643,0.0018236235990970466,0.5474294813466789,0.0013677176993227842,0.5125288390809181,0.0008022867367518809,cortical_fast_default,balanced_event_vs_stable,shuffled,2198.0,1099.0,1:2,0.4281912707413009,0.00283501959111966,0.3585848238076391,0.0007862912500392807,0.8980891719745223,0.0,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.4414771003942978,0.0017488821703876575,0.5490332120109189,0.0013116616277907304,0.5099214944718724,0.0007837959649821776,cortical_fast_default,balanced_event_vs_stable,random,2198.0,1099.0,1:2,0.4314664840996745,0.0030226425461323324,0.36036205957955014,0.0007834318816655212,0.8717015468607826,1.1102230246251565e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.6666666666666665,1.1102230246251565e-16,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,2198.0,1099.0,1:2,,,,,0.0,0.0,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.4145192574120255,0.0,0.5468584261679398,1.1102230246251565e-16,0.4794284306479429,0.0,cortical_fast_default,balanced_event_vs_stable,ar,2510.0,1099.0,1:3,0.3941057113018364,0.0003562104869835289,0.3287162162162163,5.551115123125783e-17,0.8853503184713377,1.1102230246251565e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.4109171515655306,0.0,0.5442687847336767,1.1102230246251565e-16,0.4778978388998036,0.0,cortical_fast_default,balanced_event_vs_stable,real,2510.0,1099.0,1:3,0.39816767006805553,0.00024356414237910727,0.32727884291960974,1.1102230246251565e-16,0.8853503184713377,1.1102230246251565e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.40980881130507074,1.1102230246251565e-16,0.5470525541147512,0.0,0.48099415204678353,1.1102230246251565e-16,cortical_fast_default,balanced_event_vs_stable,shuffled,2510.0,1099.0,1:3,0.39553363759960314,0.00037305964415590117,0.3284525790349416,1.1102230246251565e-16,0.8980891719745223,0.0,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.4225547243003602,5.551115123125783e-17,0.548798980601706,0.0,0.4789999999999998,1.6653345369377348e-16,cortical_fast_default,balanced_event_vs_stable,random,2510.0,1099.0,1:3,0.39863893534143324,0.0003169681855449853,0.33023095484315756,5.551115123125783e-17,0.8717015468607826,1.1102230246251565e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.6954835134386258,1.1102230246251565e-16,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,2510.0,1099.0,1:3,,,,,0.0,0.0,20,blocked,arousal__future_change_p1s_movement,classification,0.03
0.5134162303664922,0.0032027969380215068,0.5134162303664922,0.0032027969380215124,0.6703644968672273,0.0014554343403803945,cortical_fast_default,balanced_event_vs_stable,ar,382.0,382.0,1:1,0.5610235966015151,0.011495672059634518,0.5068777385024922,0.0016647445099204595,0.9895287958115185,2.220446049250313e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.05
0.5154450261780105,0.004352955274428238,0.5154450261780105,0.004352955274428239,0.6724531921564022,0.0019839086705564623,cortical_fast_default,balanced_event_vs_stable,real,382.0,382.0,1:1,0.5679631004936627,0.011106726699085051,0.5078956663552692,0.0022665096196849677,0.994764397905759,2.220446049250313e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.05
0.5160994764397906,0.003072433139870542,0.5160994764397906,0.0030724331398705577,0.6715850474770045,0.0014007157360519374,cortical_fast_default,balanced_event_vs_stable,shuffled,382.0,382.0,1:1,0.5606039167742447,0.01133064131468607,0.508274528727614,0.0016048130753237354,0.9895287958115185,2.220446049250313e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.05
0.5160340314136126,0.0037223207069528442,0.5160340314136126,0.0037223207069528442,0.6709720417551895,0.0016990852807030677,cortical_fast_default,balanced_event_vs_stable,random,382.0,382.0,1:1,0.5605935945679843,0.011427719197720005,0.508264977469974,0.001950560721130167,0.9869109947643977,2.220446049250313e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.05
0.5,0.0,0.5,0.0,,,cortical_fast_default,balanced_event_vs_stable,majority,382.0,382.0,1:1,,,,,0.0,0.0,20,blocked,arousal__future_change_p1s_movement,classification,0.05
0.35488656195462476,0.003814571203210186,0.5135471204188482,0.002860928402407646,0.5055884924523164,0.001480683014834812,cortical_fast_default,balanced_event_vs_stable,ar,764.0,382.0,1:2,0.38696446763577674,0.0073387890839504396,0.33953637111368157,0.0013363896803847285,0.9895287958115185,2.220446049250313e-16,20,blocked,arousal__future_change_p1s_movement,classification,0.05
