target_name,validation_protocol,pca_width,model_lane,mean_pr_auc
arousal_abs_delta_p4rows_train_q90,grouped_video,128,random_matched_PCA_control,0.10157858641486901
arousal_abs_delta_p4rows_train_q90,grouped_video,128,residualized_AR_plus_PCA,0.12317186188818452
arousal_abs_delta_p4rows_train_q90,grouped_video,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12373548880278902
arousal_abs_delta_p4rows_train_q90,grouped_video,128,shuffled_PCA_control,0.10245205610604184
arousal_abs_delta_p4rows_train_q90,grouped_video,128,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,128,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_PCA,0.12336465703115933
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_PCA_plus_temporal_diagnostics,0.12402807145507284
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_random_matched_PCA_control,0.11150792647464561
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_shuffled_PCA_control,0.1121520709686947
arousal_abs_delta_p4rows_train_q90,grouped_video,192,AR_plus_timestamp_video_time_control,0.11375010249051534
arousal_abs_delta_p4rows_train_q90,grouped_video,192,PCA_only,0.12223661838015454
arousal_abs_delta_p4rows_train_q90,grouped_video,192,PCA_plus_temporal_diagnostics,0.12281783021037648
arousal_abs_delta_p4rows_train_q90,grouped_video,192,quality_motion_luma_only_control,0.10670929017483921
arousal_abs_delta_p4rows_train_q90,grouped_video,192,random_matched_PCA_control,0.10226408965471787
arousal_abs_delta_p4rows_train_q90,grouped_video,192,residualized_AR_plus_PCA,0.12327159273785919
arousal_abs_delta_p4rows_train_q90,grouped_video,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.12413990015566294
arousal_abs_delta_p4rows_train_q90,grouped_video,192,shuffled_PCA_control,0.10175382722718755
arousal_abs_delta_p4rows_train_q90,grouped_video,192,shuffled_temporal_diagnostics_control,0.10141823701667665
arousal_abs_delta_p4rows_train_q90,grouped_video,192,timestamp_video_time_only_control,0.11293509196850886
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_only,0.11818805812409112
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_PCA,0.12390880792231851
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_PCA_plus_temporal_diagnostics,0.12449967638890753
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_quality_motion_luma_control,0.1139153469049374
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_random_matched_PCA_control,0.11127275189369343
arousal_abs_delta_p4rows_train_q90,grouped_video,256,AR_plus_shuffled_PCA_control,0.11047653385848204
