target_name,validation_protocol,feature_family,model_lane,mean_pr_auc
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_only,0.26193773027780903
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_PCA,0.22884202650651106
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_PCA_plus_temporal_diagnostics,0.22481709438344621
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_quality_motion_luma_control,0.24884582991796253
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_random_matched_PCA_control,0.2590943136114689
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_shuffled_PCA_control,0.25889974335168997
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,AR_plus_timestamp_video_time_control,0.2556829978095883
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,PCA_only,0.12761684426740366
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,PCA_plus_temporal_diagnostics,0.12754519889199825
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,quality_motion_luma_only_control,0.10377518029461327
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,random_matched_PCA_control,0.10857156432982468
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,residualized_AR_plus_PCA,0.23064833795655101
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,residualized_AR_plus_PCA_plus_temporal_diagnostics,0.22593254270230767
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,shuffled_PCA_control,0.10853240045355547
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,shuffled_temporal_diagnostics_control,0.10546915549363128
arousal_delta_p2rows_train_q90,blocked_temporal_70_30,temporal_then_pca,timestamp_video_time_only_control,0.10565966814498567
arousal_delta_p2rows_train_q90,grouped_video,current,AR_only,0.20841173733029833
