control,control_gain,feature_mode,fold,offset_seconds,offset_specific_gain,real_gain,target,threshold
timestamp,-0.005348498557226022,cortical_pca_64,grouped_0,8.0,-0.04351164257632412,-0.04886014113355014,arousal__future_spike_1_3s,0.05
video_time,0.00034823437050196526,cortical_pca_64,grouped_0,8.0,-0.049208375504052104,-0.04886014113355014,arousal__future_spike_1_3s,0.05
ar,-0.016419149399352517,cortical_pca_64,grouped_0,-8.0,-0.055795104663944606,-0.07221425406329712,arousal__future_spike_1_3s,0.075
shuffled,-0.02069133433393322,cortical_pca_64,grouped_0,-8.0,-0.0515229197293639,-0.07221425406329712,arousal__future_spike_1_3s,0.075
random,-0.015476017755096272,cortical_pca_64,grouped_0,-8.0,-0.05673823630820085,-0.07221425406329712,arousal__future_spike_1_3s,0.075
timestamp,-0.11263097363595273,cortical_pca_64,grouped_0,-8.0,0.04041671957265561,-0.07221425406329712,arousal__future_spike_1_3s,0.075
video_time,-0.06438517825444362,cortical_pca_64,grouped_0,-8.0,-0.007829075808853503,-0.07221425406329712,arousal__future_spike_1_3s,0.075
ar,-0.0066374974790622265,cortical_pca_64,grouped_0,-6.0,-0.03646135809912415,-0.04309885557818638,arousal__future_spike_1_3s,0.075
shuffled,-0.011721768831083168,cortical_pca_64,grouped_0,-6.0,-0.03137708674710321,-0.04309885557818638,arousal__future_spike_1_3s,0.075
random,-0.003214613858171511,cortical_pca_64,grouped_0,-6.0,-0.03988424172001487,-0.04309885557818638,arousal__future_spike_1_3s,0.075
timestamp,-0.10897984440927751,cortical_pca_64,grouped_0,-6.0,0.06588098883109113,-0.04309885557818638,arousal__future_spike_1_3s,0.075
video_time,-0.06495517240553755,cortical_pca_64,grouped_0,-6.0,0.021856316827351174,-0.04309885557818638,arousal__future_spike_1_3s,0.075
ar,0.027028637228133534,cortical_pca_64,grouped_0,-4.0,-0.010009216549014432,0.0170194206791191,arousal__future_spike_1_3s,0.075
shuffled,0.02059471948639796,cortical_pca_64,grouped_0,-4.0,-0.0035752988072788594,0.0170194206791191,arousal__future_spike_1_3s,0.075
random,0.026606385859857806,cortical_pca_64,grouped_0,-4.0,-0.009586965180738705,0.0170194206791191,arousal__future_spike_1_3s,0.075
timestamp,-0.03252595311168205,cortical_pca_64,grouped_0,-4.0,0.04954537379080115,0.0170194206791191,arousal__future_spike_1_3s,0.075
video_time,-0.044304157629689866,cortical_pca_64,grouped_0,-4.0,0.06132357830880897,0.0170194206791191,arousal__future_spike_1_3s,0.075
ar,0.035639860447237715,cortical_pca_64,grouped_0,-3.0,0.0012290817143014166,0.03686894216153913,arousal__future_spike_1_3s,0.075
shuffled,0.02559645218859946,cortical_pca_64,grouped_0,-3.0,0.01127248997293967,0.03686894216153913,arousal__future_spike_1_3s,0.075
random,0.03681736972617805,cortical_pca_64,grouped_0,-3.0,5.157243536108025e-05,0.03686894216153913,arousal__future_spike_1_3s,0.075
timestamp,-0.022140888973249534,cortical_pca_64,grouped_0,-3.0,0.059009831134788665,0.03686894216153913,arousal__future_spike_1_3s,0.075
video_time,-0.03750948253969577,cortical_pca_64,grouped_0,-3.0,0.0743784247012349,0.03686894216153913,arousal__future_spike_1_3s,0.075
ar,0.035639860447237715,cortical_pca_64,grouped_0,-2.5,0.015844650664300297,0.05148451111153801,arousal__future_spike_1_3s,0.075
shuffled,0.020081994237302447,cortical_pca_64,grouped_0,-2.5,0.031402516874235564,0.05148451111153801,arousal__future_spike_1_3s,0.075
random,0.038834524759667866,cortical_pca_64,grouped_0,-2.5,0.012649986351870146,0.05148451111153801,arousal__future_spike_1_3s,0.075
timestamp,-0.022140888973249534,cortical_pca_64,grouped_0,-2.5,0.07362540008478755,0.05148451111153801,arousal__future_spike_1_3s,0.075
video_time,-0.03750948253969577,cortical_pca_64,grouped_0,-2.5,0.08899399365123378,0.05148451111153801,arousal__future_spike_1_3s,0.075
ar,0.04026459563041318,cortical_pca_64,grouped_0,-2.0,0.022211423334891123,0.0624760189653043,arousal__future_spike_1_3s,0.075
shuffled,0.0433723377956578,cortical_pca_64,grouped_0,-2.0,0.019103681169646503,0.0624760189653043,arousal__future_spike_1_3s,0.075
random,0.04954140551814157,cortical_pca_64,grouped_0,-2.0,0.012934613447162735,0.0624760189653043,arousal__future_spike_1_3s,0.075
timestamp,-0.016441153307766826,cortical_pca_64,grouped_0,-2.0,0.07891717227307113,0.0624760189653043,arousal__future_spike_1_3s,0.075
video_time,-0.02756161200825058,cortical_pca_64,grouped_0,-2.0,0.09003763097355488,0.0624760189653043,arousal__future_spike_1_3s,0.075
ar,0.04026459563041318,cortical_pca_64,grouped_0,-1.5,0.02527961606401974,0.06554421169443292,arousal__future_spike_1_3s,0.075
shuffled,0.034278744464920574,cortical_pca_64,grouped_0,-1.5,0.031265467229512345,0.06554421169443292,arousal__future_spike_1_3s,0.075
random,0.040362816042324556,cortical_pca_64,grouped_0,-1.5,0.025181395652108363,0.06554421169443292,arousal__future_spike_1_3s,0.075
timestamp,-0.016441153307766826,cortical_pca_64,grouped_0,-1.5,0.08198536500219974,0.06554421169443292,arousal__future_spike_1_3s,0.075
video_time,-0.02756161200825058,cortical_pca_64,grouped_0,-1.5,0.0931058237026835,0.06554421169443292,arousal__future_spike_1_3s,0.075
ar,0.02412037272522627,cortical_pca_64,grouped_0,-1.0,0.01780234642351619,0.04192271914874246,arousal__future_spike_1_3s,0.075
shuffled,0.024386815792256544,cortical_pca_64,grouped_0,-1.0,0.017535903356485916,0.04192271914874246,arousal__future_spike_1_3s,0.075
random,0.030407418307566825,cortical_pca_64,grouped_0,-1.0,0.011515300841175635,0.04192271914874246,arousal__future_spike_1_3s,0.075
timestamp,-0.027670438113114704,cortical_pca_64,grouped_0,-1.0,0.06959315726185716,0.04192271914874246,arousal__future_spike_1_3s,0.075
video_time,-0.02581353624436286,cortical_pca_64,grouped_0,-1.0,0.06773625539310532,0.04192271914874246,arousal__future_spike_1_3s,0.075
ar,0.02412037272522627,cortical_pca_64,grouped_0,-0.5,0.011607670412678683,0.03572804313790495,arousal__future_spike_1_3s,0.075
shuffled,0.024746066426496127,cortical_pca_64,grouped_0,-0.5,0.010981976711408825,0.03572804313790495,arousal__future_spike_1_3s,0.075
random,0.026202294879989707,cortical_pca_64,grouped_0,-0.5,0.009525748257915245,0.03572804313790495,arousal__future_spike_1_3s,0.075
timestamp,-0.027670438113114704,cortical_pca_64,grouped_0,-0.5,0.06339848125101966,0.03572804313790495,arousal__future_spike_1_3s,0.075
video_time,-0.02581353624436286,cortical_pca_64,grouped_0,-0.5,0.061541579382267814,0.03572804313790495,arousal__future_spike_1_3s,0.075
ar,0.0,cortical_pca_64,grouped_0,0.5,-0.005613608961099581,-0.005613608961099581,arousal__future_spike_1_3s,0.075
shuffled,-0.00292923251911692,cortical_pca_64,grouped_0,0.5,-0.002684376441982661,-0.005613608961099581,arousal__future_spike_1_3s,0.075
random,-0.0018397451121531239,cortical_pca_64,grouped_0,0.5,-0.003773863848946457,-0.005613608961099581,arousal__future_spike_1_3s,0.075
timestamp,0.0,cortical_pca_64,grouped_0,0.5,-0.005613608961099581,-0.005613608961099581,arousal__future_spike_1_3s,0.075
video_time,0.0,cortical_pca_64,grouped_0,0.5,-0.005613608961099581,-0.005613608961099581,arousal__future_spike_1_3s,0.075
ar,0.0,cortical_pca_64,grouped_0,1.0,-0.007208825224162496,-0.007208825224162496,arousal__future_spike_1_3s,0.075
shuffled,-0.00261791675383638,cortical_pca_64,grouped_0,1.0,-0.004590908470326116,-0.007208825224162496,arousal__future_spike_1_3s,0.075
random,0.0010821536107769036,cortical_pca_64,grouped_0,1.0,-0.0082909788349394,-0.007208825224162496,arousal__future_spike_1_3s,0.075
timestamp,0.0,cortical_pca_64,grouped_0,1.0,-0.007208825224162496,-0.007208825224162496,arousal__future_spike_1_3s,0.075
video_time,0.0,cortical_pca_64,grouped_0,1.0,-0.007208825224162496,-0.007208825224162496,arousal__future_spike_1_3s,0.075
ar,-0.004907595598043546,cortical_pca_64,grouped_0,1.5,-0.012407741725407595,-0.01731533732345114,arousal__future_spike_1_3s,0.075
shuffled,-0.00439918343579665,cortical_pca_64,grouped_0,1.5,-0.012916153887654491,-0.01731533732345114,arousal__future_spike_1_3s,0.075
random,-0.003723441099173719,cortical_pca_64,grouped_0,1.5,-0.013591896224277422,-0.01731533732345114,arousal__future_spike_1_3s,0.075
timestamp,0.00827591267701211,cortical_pca_64,grouped_0,1.5,-0.02559125000046325,-0.01731533732345114,arousal__future_spike_1_3s,0.075
video_time,-0.010251812151420125,cortical_pca_64,grouped_0,1.5,-0.0070635251720310155,-0.01731533732345114,arousal__future_spike_1_3s,0.075
ar,-0.004907595598043546,cortical_pca_64,grouped_0,2.0,-0.011501335291350945,-0.01640893088939449,arousal__future_spike_1_3s,0.075
shuffled,-0.009686327572712428,cortical_pca_64,grouped_0,2.0,-0.006722603316682063,-0.01640893088939449,arousal__future_spike_1_3s,0.075
random,-0.00629968459874658,cortical_pca_64,grouped_0,2.0,-0.01010924629064791,-0.01640893088939449,arousal__future_spike_1_3s,0.075
timestamp,0.00827591267701211,cortical_pca_64,grouped_0,2.0,-0.0246848435664066,-0.01640893088939449,arousal__future_spike_1_3s,0.075
video_time,-0.010251812151420125,cortical_pca_64,grouped_0,2.0,-0.006157118737974365,-0.01640893088939449,arousal__future_spike_1_3s,0.075
ar,-0.005068706665247391,cortical_pca_64,grouped_0,2.5,-0.008585401120509373,-0.013654107785756764,arousal__future_spike_1_3s,0.075
shuffled,-0.007827557554073328,cortical_pca_64,grouped_0,2.5,-0.005826550231683436,-0.013654107785756764,arousal__future_spike_1_3s,0.075
random,-0.002940869196641327,cortical_pca_64,grouped_0,2.5,-0.010713238589115437,-0.013654107785756764,arousal__future_spike_1_3s,0.075
timestamp,-0.0007469144073963541,cortical_pca_64,grouped_0,2.5,-0.01290719337836041,-0.013654107785756764,arousal__future_spike_1_3s,0.075
video_time,-0.01806357079717147,cortical_pca_64,grouped_0,2.5,0.004409463011414705,-0.013654107785756764,arousal__future_spike_1_3s,0.075
ar,-0.005068706665247391,cortical_pca_64,grouped_0,3.0,-0.007418377983178792,-0.012487084648426183,arousal__future_spike_1_3s,0.075
shuffled,0.0012565620156033686,cortical_pca_64,grouped_0,3.0,-0.013743646664029552,-0.012487084648426183,arousal__future_spike_1_3s,0.075
random,0.0055863266060210415,cortical_pca_64,grouped_0,3.0,-0.018073411254447225,-0.012487084648426183,arousal__future_spike_1_3s,0.075
timestamp,-0.0007469144073963541,cortical_pca_64,grouped_0,3.0,-0.01174017024102983,-0.012487084648426183,arousal__future_spike_1_3s,0.075
video_time,-0.01806357079717147,cortical_pca_64,grouped_0,3.0,0.0055764861487452855,-0.012487084648426183,arousal__future_spike_1_3s,0.075
ar,-0.008940250195248467,cortical_pca_64,grouped_0,4.0,-0.01359602583482944,-0.022536276030077906,arousal__future_spike_1_3s,0.075
shuffled,-0.007864837010138181,cortical_pca_64,grouped_0,4.0,-0.014671439019939725,-0.022536276030077906,arousal__future_spike_1_3s,0.075
random,-0.001091967744560829,cortical_pca_64,grouped_0,4.0,-0.021444308285517077,-0.022536276030077906,arousal__future_spike_1_3s,0.075
