target_name,feature_name,pca_width,model_lane,gate_name,status,candidate_grouped_pr_auc,ar_only_grouped_pr_auc,delta_vs_AR_only,beats_required_controls,positive_mean_fold_delta_vs_AR,not_driven_by_one_fold_only,positive_fold_count_vs_AR,fold_count,blocked_temporal_support,blocked_temporal_status
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_std,128,PCA_only,strict_grouped_pass,fail,0.11148136975959604,0.11818805812409112,-0.006706688364495089,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_std,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11313215856733987,0.11818805812409112,-0.005055899556751259,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_std,128,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11291461131980725,0.11818805812409112,-0.005273446804283877,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_std,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11713781935455683,0.11818805812409112,-0.0010502387695342924,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_causal_past_3s_std,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11669392418262672,0.11818805812409112,-0.0014941339414644011,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_current,128,PCA_only,strict_grouped_pass,pass,0.12176847380827063,0.11818805812409112,0.003580415684179508,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_current,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.1231019879669168,0.11818805812409112,0.004913929842825682,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_current,128,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12295060028058483,0.11818805812409112,0.0047625421564937015,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_current,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12373800542160529,0.11818805812409112,0.005549947297514166,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_current,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12361725922083197,0.11818805812409112,0.005429201096740846,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_delta,128,PCA_only,strict_grouped_pass,fail,0.10241783455136681,0.11818805812409112,-0.015770223572724312,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_delta,128,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11377115971833454,0.11818805812409112,-0.0044168984057565835,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_delta,128,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11371884747760604,0.11818805812409112,-0.004469210646485089,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca128_delta,128,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11683443712605424,0.11818805812409112,-0.001353620998036889,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca128_delta,128,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11657800407178645,0.11818805812409112,-0.0016100540523046741,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_0p5s_mean,192,PCA_only,strict_grouped_pass,pass,0.12223661838015454,0.11818805812409112,0.004048560256063413,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_0p5s_mean,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.12336465703115933,0.11818805812409112,0.005176598907068203,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_0p5s_mean,192,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12327159273785919,0.11818805812409112,0.005083534613768065,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_0p5s_mean,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12402807145507284,0.11818805812409112,0.005840013330981719,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_0p5s_mean,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12413990015566294,0.11818805812409112,0.0059518420315718135,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_mean,192,PCA_only,strict_grouped_pass,pass,0.12220213087009965,0.11818805812409112,0.004014072746008526,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_mean,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.12325497089092345,0.11818805812409112,0.005066912766832327,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_mean,192,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12316340033030679,0.11818805812409112,0.004975342206215663,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_mean,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12383733470730848,0.11818805812409112,0.005649276583217358,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_mean,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12376493543016003,0.11818805812409112,0.0055768773060689,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_slope,192,PCA_only,strict_grouped_pass,fail,0.10732787903424545,0.11818805812409112,-0.01086017908984567,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_slope,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11313332177552804,0.11818805812409112,-0.005054736348563085,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_slope,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11310091706036858,0.11818805812409112,-0.0050871410637225445,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_slope,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11702235652533596,0.11818805812409112,-0.0011657015987551617,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_slope,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11672232926436428,0.11818805812409112,-0.0014657288597268447,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_std,192,PCA_only,strict_grouped_pass,fail,0.11099829931666003,0.11818805812409112,-0.007189758807431099,false,false,false,0,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_std,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.1129434684307958,0.11818805812409112,-0.005244589693295332,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_std,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.11269689982892164,0.11818805812409112,-0.005491158295169482,false,false,false,0,5,false,mixed_or_fail
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_std,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,fail,0.11663550573703693,0.11818805812409112,-0.001552552387054193,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_1s_std,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,fail,0.11618320211011872,0.11818805812409112,-0.002004856013972406,false,false,false,2,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_mean,192,PCA_only,strict_grouped_pass,pass,0.12157810302197473,0.11818805812409112,0.0033900448978836095,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_mean,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,pass,0.12254180091396127,0.11818805812409112,0.004353742789870149,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_mean,192,residualized_AR_plus_PCA,residualized_grouped_pass,pass,0.12236686483474332,0.11818805812409112,0.004178806710652197,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_mean,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.12288512525682434,0.11818805812409112,0.0046970671327332125,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_mean,192,residualized_AR_plus_PCA_plus_temporal_diagnostics,residualized_temporal_grouped_pass,pass,0.12284324792671866,0.11818805812409112,0.004655189802627538,true,true,true,4,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_slope,192,PCA_only,strict_grouped_pass,fail,0.11277466786317639,0.11818805812409112,-0.005413390260914738,false,false,false,1,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_slope,192,AR_plus_PCA,strict_AR_plus_PCA_grouped_pass,fail,0.11431334330624998,0.11818805812409112,-0.0038747148178411434,false,false,false,1,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_slope,192,residualized_AR_plus_PCA,residualized_grouped_pass,fail,0.1154333107111765,0.11818805812409112,-0.002754747412914621,false,false,false,1,5,true,support
arousal_abs_delta_p4rows_train_q90,cortical_pca192_causal_past_2s_slope,192,AR_plus_PCA_plus_temporal_diagnostics,strict_AR_plus_PCA_temporal_grouped_pass,pass,0.11872683481059132,0.11818805812409112,0.0005387766865001947,true,true,true,3,5,true,support
