candidate,f1,feature_width,head,pr_auc,real_minus_ar_pr_auc,real_minus_random_pr_auc,real_minus_shuffled_pr_auc,real_minus_timestamp_pr_auc,real_minus_video_time_pr_auc,scope,split,target,threshold
cortical_pca_64,0.4292929292929293,64,ridge_score,0.42778304834674363,0.014753283974617448,0.02586268756954241,0.028751991786661157,0.2263239311616985,0.2235790669025067,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
pca_delta_128,0.44306418219461696,768,ridge_score,0.4270247928144277,-0.05461615706509909,0.013402869955753294,-0.01533623395849576,0.09994854908579481,0.07466344176834538,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.4489500362056481,64,ridge_score,0.4269689564841389,-0.007430146684634986,-0.005992171617683506,0.0038582640147752922,0.08060752459750986,0.07305413738510591,all_videos,grouped_1,arousal__future_change_p3s_movement,0.05
pca_delta_128,0.441017733230532,768,ridge_score,0.42648532155595464,-0.07130679892375202,-0.021824281390766753,-0.04818233860766147,0.07698477738336978,0.0810082110497794,all_videos,grouped_2,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.4200913242009133,512,ridge_score,0.425960105217903,-0.04560390256279162,0.003973988886176227,-0.013236331837129633,0.12046030437405603,0.09143077700860286,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
cortical_pca_64,0.44016345592527734,64,ridge_score,0.42543001823426196,-0.01280466256552043,-0.005423690091723332,-0.004798996762120478,0.1227664395546253,0.11999552236909439,all_videos,grouped_3,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean,0.4360495391175486,,ridge_score,0.42514047319692894,0.012623413979686526,0.025714755867679205,0.026530178361250954,0.23371496085931992,0.24398817235172549,all_videos,grouped_video_mean,arousal__future_spike_1_3s,0.05
roi_parcel_features,0.3898026315789474,75,ridge_score,0.4248715691841228,0.028162740814539955,0.019200344679186687,0.022937148560896015,0.1510995830020811,0.08358810111095699,all_videos,official,arousal__future_change_p3s_movement,0.05
cortical_pca64_delta,0.4373956594323873,384,ridge_score,0.4244944482035685,-0.05562588450965955,0.011576846878721903,-0.020182185592363733,0.09741820447493565,0.06530281860828197,all_videos,grouped_0,arousal__future_change_p3s_movement,0.05
pca_sequence_128_causal_past_2s_mean_std_last_slope,0.42091503267973857,512,ridge_score,0.42406465818205735,-0.03055069043834202,0.05067952310942592,-0.0015935909190664677,0.24003882975837887,0.2244321685205973,all_videos,grouped_1,arousal__future_spike_1_3s,0.05
